Date,Impressions Envoyees,Key
11/01/2017,3 858,392430-57
11/01/2017,4 115,394024-2
11/01/2017,4 408,392466-15
11/01/2017,5 600,460208-15
11/01/2017,6 181,2437
11/01/2017,8 441,Handball17_interdesktop_handnews
11/01/2017,10 561,394166-2
11/01/2017,10 649,393322-10
11/01/2017,10 850,4567
11/01/2017,11 245,1802
11/01/2017,11 634,13359
11/01/2017,11 850,413522-10
11/01/2017,12 272,393178-57
11/01/2017,12 755,394154-57
11/01/2017,14 992,393342-15
11/01/2017,15 290,393322-57
11/01/2017,16 857,393178-10
11/01/2017,17 173,Handball17_parallax
11/01/2017,17 871,394166-88
11/01/2017,20 003,395228-10
11/01/2017,21 333,471996-10
11/01/2017,23 545,394008-57
11/01/2017,23 664,471996-58
11/01/2017,24 115,395228-57
11/01/2017,24 898,460206-10
11/01/2017,27 717,1801
11/01/2017,29 155,471998-2
11/01/2017,29 307,471998-10
11/01/2017,34 705,1113
11/01/2017,37 948,473098-15
11/01/2017,43 743,394008-10
11/01/2017,44 610,394024-15
11/01/2017,75 728,460206-57
11/01/2017,1 175 105,-
11/01/2017,3 340 764,-
12/01/2017,1,4565
12/01/2017,1,Backgroundmobile-WL-fb
12/01/2017,3,test-alspaman-2
12/01/2017,20,391854-57
12/01/2017,66,391890-15
12/01/2017,74,391854-10
12/01/2017,453,8100
12/01/2017,1 103,4571
12/01/2017,1 880,452900-10
12/01/2017,2 188,452900-57
12/01/2017,2 196,1801
12/01/2017,2 549,392430-10
12/01/2017,2 594,393782-10
12/01/2017,2 713,392430-57
12/01/2017,2 767,393782-9
12/01/2017,2 860,393782-57
12/01/2017,3 089,392466-15
12/01/2017,3 585,1802
12/01/2017,3 858,2437
12/01/2017,4 648,394024-2
12/01/2017,7 160,394166-2
12/01/2017,7 202,Handball17_interdesktop_handnews
12/01/2017,7 947,413522-10
12/01/2017,8 433,394154-57
12/01/2017,9 824,4567
12/01/2017,11 443,393322-10
12/01/2017,11 964,394166-88
12/01/2017,15 632,393342-15
12/01/2017,15 711,393178-57
12/01/2017,15 834,394008-57
12/01/2017,15 915,393322-57
12/01/2017,19 994,13359
12/01/2017,20 398,393178-10
12/01/2017,22 147,395228-10
12/01/2017,23 933,Backgroundmobile-Adidas-Handnews
12/01/2017,24 193,471996-10
12/01/2017,27 696,471996-58
12/01/2017,30 212,394008-10
12/01/2017,32 624,395228-57
12/01/2017,36 190,394024-15
12/01/2017,38 327,471998-2
12/01/2017,39 274,471998-10
12/01/2017,41 034,1113
12/01/2017,46 485,460206-10
12/01/2017,79 300,460206-57
12/01/2017,86 416,473098-15
12/01/2017,1 084 559,-
12/01/2017,3 723 191,-
13/01/2017,1,Backgroundmobile-WL-fb
13/01/2017,1,Newsweb-parallax_HandBall17
13/01/2017,1,test-alspaman-2
13/01/2017,12,523402-10
13/01/2017,16,523404-15
13/01/2017,20,523404-2
13/01/2017,22,523402-57
13/01/2017,24,391854-57
13/01/2017,76,391890-15
13/01/2017,81,391854-10
13/01/2017,617,8100
13/01/2017,1 134,4571
13/01/2017,1 145,452900-57
13/01/2017,1 946,452900-10
13/01/2017,2 275,1801
13/01/2017,2 536,393782-10
13/01/2017,2 661,393782-9
13/01/2017,2 745,393782-57
13/01/2017,3 169,392430-10
13/01/2017,3 331,392430-57
13/01/2017,3 849,392466-15
13/01/2017,4 315,394024-2
13/01/2017,4 990,2437
13/01/2017,7 095,Handball17_interdesktop_handnews
13/01/2017,8 543,394166-2
13/01/2017,9 323,1802
13/01/2017,9 788,413522-10
13/01/2017,10 170,4567
13/01/2017,10 429,394154-57
13/01/2017,10 446,393322-10
13/01/2017,13 431,393178-57
13/01/2017,14 574,393342-15
13/01/2017,14 765,394166-88
13/01/2017,14 840,393322-57
