Date,Impressions Envoyees,Key
15/07/2017,3125,1802
15/07/2017,3162,394024-15
15/07/2017,3261,529908-2
15/07/2017,3307,9779145002
15/07/2017,3389,471996-58
15/07/2017,4658,394008-10
15/07/2017,5084,686600-15
15/07/2017,5438,393178-57
15/07/2017,5469,393188-10
15/07/2017,5682,471998-2
15/07/2017,5899,471998-10
15/07/2017,6210,393342-15
15/07/2017,6337,393178-10
15/07/2017,6368,393322-10
15/07/2017,6515,393322-57
15/07/2017,6602,4566
15/07/2017,6932,393188-2
15/07/2017,7487,394166-2
15/07/2017,7688,413522-10
15/07/2017,7733,497124-15
15/07/2017,8367,394154-57
15/07/2017,8671,2437
15/07/2017,8781,686602-15
15/07/2017,12100,1801
15/07/2017,13443,395228-10
15/07/2017,15040,395228-57
15/07/2017,15655,394166-88
15/07/2017,16421,1113
15/07/2017,21228,392902-15
15/07/2017,23345,392926-2
15/07/2017,24460,471996-10
15/07/2017,26073,392902-57
15/07/2017,26500,4567
25/07/2017,1,390254
25/07/2017,1,616770-15
25/07/2017,1,616772-15
25/07/2017,5,383690
25/07/2017,6,383689
25/07/2017,8,684380-15
25/07/2017,9,390998
25/07/2017,10,393368-10
25/07/2017,11,393368-57
25/07/2017,12,394400-43
25/07/2017,15,9512974205
25/07/2017,16,1989707405
25/07/2017,19,392892-10
25/07/2017,29,523402-10
25/07/2017,37,523406-15
25/07/2017,44,4350000605
25/07/2017,49,390448
25/07/2017,49,7303467006
25/07/2017,54,2997471007
25/07/2017,61,392880-10
25/07/2017,61,8959303807
25/07/2017,64,6010680608
25/07/2017,64,7563295800
25/07/2017,68,1436037001
25/07/2017,78,523406-43
25/07/2017,92,6872280602
25/07/2017,94,446675
25/07/2017,98,395240-10
25/07/2017,103,390264
25/07/2017,111,390262
25/07/2017,112,383686
25/07/2017,118,1161899405
25/07/2017,124,571460-15
25/07/2017,126,390132
25/07/2017,126,390994
25/07/2017,127,2697287402
25/07/2017,130,390131
25/07/2017,132,569746-15
25/07/2017,137,4394346604
25/07/2017,144,393466-15
25/07/2017,151,503487
25/07/2017,159,2917613400
25/07/2017,165,523452-15
25/07/2017,172,7614851409
25/07/2017,223,9040029009
25/07/2017,242,523404-2
25/07/2017,249,395240-57
25/07/2017,253,523402-57
25/07/2017,278,395364-43
25/07/2017,287,8100
25/07/2017,304,394466-43
25/07/2017,315,529906-10
25/07/2017,335,390754
25/07/2017,342,4529104205
25/07/2017,356,523452-43
25/07/2017,357,529906-2
25/07/2017,358,8587213803
25/07/2017,383,569746-10
25/07/2017,397,569748-15
25/07/2017,423,5494146609
25/07/2017,432,390256
25/07/2017,455,390221
25/07/2017,466,523438-2
25/07/2017,476,7208212205
25/07/2017,489,523436-10
25/07/2017,493,477712-15
25/07/2017,503,477702-10
25/07/2017,511,523436-57
25/07/2017,541,477700-10
25/07/2017,577,13359
25/07/2017,626,497122-2
25/07/2017,632,1440880204
25/07/2017,633,390263
25/07/2017,678,481804
25/07/2017,688,390991
25/07/2017,750,2540680206
25/07/2017,760,591326-2
25/07/2017,762,591326-15
25/07/2017,801,9779145002
25/07/2017,846,9091584608
25/07/2017,878,456346-57
25/07/2017,918,394466-67
